previsao,verdade,porcentagem,id_cena
1,1,100,LS82260702016078
743,805,92,LS82260702017256
18,48,37,LS82210702016059
270,599,45,LS82210702017269
0,2,0,LS52210672002068
422,1102,38,LS82210672017285
0,1,0,LS82210742016059
252,1072,23,LS82210742018128
